person_id,movie_id
212,35423
630,35423
5227,35423
413168,35423
164540,64177
684521,64177
257,64510
933361,64510
303,64598
314,64598
4730,64598
489,64949
1088,64949
142,65134
511,65134
603,65161
626259,65161
661,65370
991,65370
44,65377
1421,65377
661,65380
995,65380
186469,65384
382411,65384
593803,65384
275213,65439
598971,65439
1277,65441
1347,65441
1510,65446
1673,65446
1831,65446
144045,65454
181305,65454
1859,65481
385757,65481
1069,65492
1167,65492
577,65520
240233,65520
707728,65520
885203,65520
273,65528
307316,65528
71,65542
429250,65542
1886,65553
74125,65553
314,65555
1699,65555
564,65581
28674,65581
1233,65582
516800,65582
27,65593
1321,65593
605923,65593
878302,65593
1449,65636
811202,65636
1421,65642
626728,65642
469,65692
5078,65692
950867,65692
28674,65700
916001,65700
1703,65703
181305,65703
761212,65703
577,65711
1058,65711
2096,65711
393028,65711
532,65720
1727,65720
197,65724
947,65724
1673,65731
1684,65731
1069,65760
1735,65760
298,65775
1285,65775
47,65782
52,65782
469,65797
737,65797
283314,65797
318153,65797
32,65820
1036,65820
6,65830
366,65830
216,65832
439170,65832
134,65836
1164,65836
307255,65836
427894,65842
778204,65842
393,65867
1262,65867
1056,65871
1285,65871
882853,65871
215,65916
1967,65916
24,65922
32,65922
1673,65922
142,65938
1699,65938
56,65944
469,65944
1657,65957
2058,65957
277,65967
303,65967
323,65969
1725,65969
611707,65970
628017,65970
163,65988
1159,65988
602,65989
1381,65989
447515,65990
610699,65990
1537,66011
532298,66011
641939,66011
1330,66017
1693,66017
1719,66017
643,66026
661,66026
1285,66026
56,66043
602,66043
654,66080
1816,66080
125,66090
1321,66090
2058,66090
277975,66090
1588,66093
603402,66093
752751,66093
257,66096
1847,66096
2769,66113
913993,66113
79,66115
1379,66115
715643,66115
1884,66141
2145,66141
880521,66141
598971,66181
627878,66181
493,66193
6800,66193
56310,66193
575198,66193
1719,66195
307255,66195
364915,66209
565569,66209
908919,66209
1233,66222
1381,66222
1159,66262
511798,66262
698,66266
452288,66266
268,66273
516972,66273
934902,66273
1001,66274
811202,66274
197,66286
1136,66286
2663,66286
380,66296
685,66296
1025,66296
393,66312
1445,66312
1673,66312
53,66319
2145,66319
27,66344
1215,66344
608,66384
7098,66384
138354,66384
164540,66384
298,66390
587,66390
1450,66392
1891,66392
918663,66392
661,66402
698,66402
320760,66410
821041,66410
1069,66415
1117,66415
308,66422
1417,66422
380,66434
587,66434
18,66448
2025,66448
643105,66448
1445,66450
1627,66450
1394,66454
673802,66454
687506,66454
915164,66454
323,66471
846,66471
28674,66471
731772,66471
1069,66485
5078,66485
419054,66485
366,66491
626259,66491
995,66494
1800,66494
1123,66495
1449,66495
1088,66518
809184,66518
303,66528
626259,66528
56,66540
