id,title,year
68207,Anna and the Wolves,1973
68226,The Assassination of Trotsky,1972
68240,Avanti!,1972
68274,The Big Game,1973
68309,Boxcar Bertha,1972
68317,Brother John,1971
68326,Butterflies Are Free,1972
68332,Cancel My Reservation,1972
68334,The Candidate,1972
68337,The Carey Treatment,1972
68347,The Burglars,1971
68356,Chandler,1971
68384,Cisco Pike,1972
68408,Conquest of the Planet of the Apes,1972
68413,Corky,1972
68421,The Cowboys,1972
68424,The Creeping Flesh,1973
68429,"Cry for Me, Billy",1972
68435,The Culpepper Cattle Co.,1972
68441,César and Rosalie,1972
68452,Deadhead Miles,1972
68473,Deliverance,1972
68488,Dirty Weekend,1973
68498,Doomwatch,1972
68505,Dracula A.D. 1972,1972
68509,"Drive, He Said",1971
68521,Ten Days Wonder,1971
68555,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972
68562,FTA,1972
68571,A Fan's Notes,1972
68575,Fat City,1972
68576,Fear Is the Key,1972
68577,Fear in the Night,1972
68615,Frogs,1972
68617,Fuzz,1972
68637,Get to Know Your Rabbit,1972
68640,Girls on the Road,1972
68646,The Godfather,1972
68661,The Great Northfield Minnesota Raid,1972
68663,The Groundstar Conspiracy,1972
68669,Gumshoe,1971
68674,Hammersmith Is Out,1972
68675,Hannie Caulder,1971
68687,The Heartbreak Kid,1972
68694,The Hero,1970
68699,High Plains Drifter,1973
68702,Sonny and Jed,1972
68711,The Honkers,1972
68713,Horror Express,1972
68718,The Hot Rock,1972
68726,I Want What I Want,1972
68727,"I, Monster",1971
68742,Innocent Bystanders,1972
68763,The Jerusalem File,1972
68768,Joe Kidd,1972
68774,Journey,1972
68789,Justin Morgan Had a Horse,1972
68805,The King of Marvin Gardens,1972
68806,"King, Queen, Knave",1972
68850,Love and Pain and the Whole Damn Thing,1973
68863,Lisa and the Devil,1973
68868,Liza,1972
68873,The Loners,1972
68883,Ludwig,1973
68903,Malcolm X,1972
68909,Man of La Mancha,1972
68912,The Man,1972
68920,Antony and Cleopatra,1972
68931,The Mechanic,1972
68962,Molly and Lawless John,1972
68970,Lady Liberty,1971
68984,My Old Man's Place,1971
68990,Napoleon and Samantha,1972
68991,Nathalie Granger,1972
68994,Necromancy,1972
68997,The New Centurions,1972
69007,The Nightcomers,1971
69024,Nothing But the Night,1973
69031,"Now You See Him, Now You Don't",1972
69035,The New Land,1972
69079,My Name Is Rocco Papaleo,1971
69080,Pete 'n' Tillie,1972
69084,Pickup on 101,1972
